nome_propriedade,tipo,endereco,cidade,estado,cep,condado,lat,lon,status,avaliacao_media,total_avaliacoes,telefone,website
Chain O’ Lakes Campground,campground,"Campground, Albion, IN 46701, USA",Albion,IN,46701,Noble County,41.3291450,-85.3710404,OPERATIONAL,4.6,312,(260) 636-2654,https://www.in.gov/dnr/state-parks/parks-lakes/chain-o-lakes-state-park/
Orchard Ridge Estates,rv_park,"305 S 4th St, Albion, IN 46701, USA",Albion,IN,46701,Noble County,41.3938931,-85.4140058,OPERATIONAL,5.0,1,(201) 989-6102,
Shady Haven Resort,rv_park,"3100 W Baseline Rd, Albion, IN 46701, USA",Albion,IN,46701,Noble County,41.3532333,-85.4846038,OPERATIONAL,4.1,49,,
Hoosierland Campground,campground,"2641 E 1300 N, Alexandria, IN 46001, USA",Alexandria,IN,46001,Madison County,40.2907379,-85.6220401,OPERATIONAL,4.4,189,(765) 724-2530,http://hoosierlandcampground.com/
Anderson Manufactured Home Community,rv_park,"328 W 53rd St #27, Anderson, IN 46013, USA",Anderson,IN,46013,Madison County,40.0618327,-85.6836357,OPERATIONAL,3.9,97,(765) 274-5554,https://endeavorcommunities.com/community/anderson-manufactured-home-community/
Cottonwood RV Park,rv_park,"2206 S Rangeline Rd, Anderson, IN 46012, USA",Anderson,IN,46012,Madison County,40.0951982,-85.6333499,OPERATIONAL,5.0,4,(765) 208-1673,
Countryside Village,rv_park,"278 W 375 N, Anderson, IN 46012, USA",Anderson,IN,46012,Madison County,40.1623843,-85.6772584,OPERATIONAL,3.3,30,(765) 606-9928,
Deerfield Run Pointe Mobile Home Park,rv_park,"2735 Autumn Lake Dr, Anderson, IN 46017, USA",Anderson,IN,46017,Madison County,40.0720190,-85.6206516,OPERATIONAL,3.5,154,(765) 643-4580,https://yougotithomes.com/community/deerfield-run-pointe/
Edgewood MHP,rv_park,"1810 W 53rd St, Anderson, IN 46013, USA",Anderson,IN,46013,Madison County,40.0621686,-85.7065961,OPERATIONAL,3.1,37,(765) 641-9994,
Mounds Mobile Home Park,rv_park,"2721 Mounds Rd, Anderson, IN 46016, USA",Anderson,IN,46016,Madison County,40.0887985,-85.6418457,OPERATIONAL,3.2,37,(765) 642-5939,
