lead_tier,park_id,park_name,park_type,recipient_name,is_company,company_name,entity_type,mailing_address,mailing_city,mailing_state,mailing_zip,park_address,park_city,park_state,park_zip,park_county,primary_email,primary_phone,all_emails,all_phones,website,rating,reviews,total_lots,business_status,latitude,longitude,data_confidence,needs_review
C,191,Angola / Hogback Lake KOA Holiday,rv_park,Proprietário,Não,,,US 20,Angola,IN,46703,US 20,Angola,IN,46703,,,+1-260-665-5353,,,,,0,,OPERATIONAL,41.6309685,-85.0855279,0.7,Não
C,146,Batesville KOA,rv_park,Proprietário,Não,,,East State Road 46,Batesville,IN,47006,East State Road 46,Batesville,IN,47006,,,+1-812-934-0296,,,https://koa.com/campgrounds/batesville/,,0,,OPERATIONAL,39.2721633,-85.1242926,0.7,Não
C,109,Big Fish-N-Campground,campground,Proprietário,Não,,,South 900 East,Lafayette,IN,47905,South 900 East,Lafayette,IN,47905,,,,,,,,0,,OPERATIONAL,40.332777,-86.7298789,0.7,Não
C,137,Bon Air Mobile Home Community,trailer_park,Proprietário,Não,,,North Apperson Way,Kokomo,IN,46901,North Apperson Way,Kokomo,IN,46901,,bonair@boavidamhp.com,(765) 553-4796,bonair@boavidamhp.com,(765) 553-4796,https://www.boavidacommunities.com/communities/bon-air-manufactured-home-community/,,0,,OPERATIONAL,40.5116959,-86.1281159,0.7,Não
C,396,Bozarth Campground and Recreational Resort,rv_park,Proprietário,Não,,,East 400 South,Lagro,IN,46941,East 400 South,Lagro,IN,46941,,,+1 765 981 4522,,,https://www.bozarthcampground.com/,,0,,OPERATIONAL,40.7674107,-85.6573148,0.7,Não
C,98,Broadview Lake Campground,campground,Proprietário,Não,,,South Broadview Road,Colfax,IN,46035,South Broadview Road,Colfax,IN,46035,,,,,,,,0,,OPERATIONAL,40.2167115,-86.6638067,0.7,Não
C,308,Camelot Village,trailer_park,Proprietário,Não,,,West 38th Street,Anderson,IN,46011,West 38th Street,Anderson,IN,46011,,,,,,,,0,,OPERATIONAL,40.0728,-85.7181736,0.7,Não
C,400,Camp Belzer,campground,Proprietário,Não,,,Boy Scout Road,Lawrence,IN,46226,Boy Scout Road,Lawrence,IN,46226,,,,,,,,0,,OPERATIONAL,39.8654854,-86.0386791,0.7,Não
C,192,Camp Bullfrog Lake,campground,Proprietário,Não,,,Wolf Road,Willow Springs,IL,60480,Wolf Road,Willow Springs,IL,60480,,,(630) 453-7887,,(630) 453-7887; (708) 771-1000; (708) 906-1184; (800) 870-3666; (855) 937-2267,https://fpdcc.com/,,0,,OPERATIONAL,41.7096107,-87.9025087,0.7,Não
C,279,Camp Dellwood Girl Scouts Camp,campground,Proprietário,Não,,,Girl Scout Lane,Indianapolis,IN,46214,Girl Scout Lane,Indianapolis,IN,46214,,,,,,,,0,,OPERATIONAL,39.7973257,-86.2840602,0.7,Não
C,322,Camp Redwing,campground,Proprietário,Não,,,East Inlow Springs Road,Muncie,IN,47302,East Inlow Springs Road,Muncie,IN,47302,,,,,,,,0,,OPERATIONAL,40.1529515,-85.3190351,0.7,Não
C,126,Camp Sullivan,campground,Proprietário,Não,,,Oak Park Avenue,Oak Forest,IL,60452,Oak Park Avenue,Oak Forest,IL,60452,,,(630) 453-7887,,(630) 453-7887; (708) 771-1000; (708) 906-1184; (800) 870-3666; (855) 937-2267,https://fpdcc.com/,,0,,OPERATIONAL,41.6249547,-87.7867318,0.7,Não
C,258,Camp To-Pe-Ne-Bee,campground,Proprietário,Não,,,North Holmesville Road,La Porte,IN,,North Holmesville Road,La Porte,IN,,,lasalle.council@scouting.org,(219) 214-1004,lasalle.council@scouting.org,(219) 214-1004; (219) 809-1345; (574) 289-0337,https://www.lasallecouncilbsa.org/camptopenebee,,0,,OPERATIONAL,41.6139706,-86.8781703,0.7,Não
C,425,Camping at Baell Woods,campground,Proprietário,Não,,,Baell Woods Avenue,Mount Carmel,IL,62863,Baell Woods Avenue,Mount Carmel,IL,62863,,,,,,,,0,,OPERATIONAL,38.3510984,-87.835965,0.7,Não
C,76,Cobus Green,trailer_park,Proprietário,Não,,,Ash Road,Osceola,IN,46561,Ash Road,Osceola,IN,46561,,,(888) 482-0854,,(888) 482-0854,https://www.suncommunities.com/community/cobus-green/,,0,,OPERATIONAL,41.7086534,-86.0571213,0.7,Não
C,100,Columbus Woods-N-Water,campground,Proprietário,Não,,,S 300 W,Columbus,IN,47201,S 300 W,Columbus,IN,47201,,,,,,,,0,,OPERATIONAL,39.1200137,-85.9641489,0.7,Não
C,263,Cottonwood Campground,rv_park,Proprietário,Não,,,US 6,Ligonier,IN,46767,US 6,Ligonier,IN,46767,,,+1 574 457 4389,,,,,0,,OPERATIONAL,41.4511219,-85.6260076,0.7,Não
C,106,Deer Ridge Camping Resort,campground,Proprietário,Não,,,Smyrna Road,Richmond,IN,47374,Smyrna Road,Richmond,IN,47374,,,(765) 939-0888,,(765) 939-0888,https://deerridgecampingresort.com/,,0,,OPERATIONAL,39.8678959,-84.8512484,0.7,Não
C,212,Duvall Mobile Home Park,,Proprietário,Não,,,South Wilson Road,Radcliff,KY,40160,South Wilson Road,Radcliff,KY,40160,,,+1-270-351-5225,,,,,0,,OPERATIONAL,37.8246485,-85.930978,0.7,Não
C,276,Four Seasons Lodging And RV Park,,Proprietário,Não,,,IN 62 WEST,Mount Vernon,IN,47620,IN 62 WEST,Mount Vernon,IN,47620,,,,,,,,0,,OPERATIONAL,37.928608,-87.9278553,0.7,Não
C,121,Goldman Union Camp Institute,campground,Proprietário,Não,,,Moore Road,Zionsville,IN,46077,Moore Road,Zionsville,IN,46077,,,,,,,,0,,OPERATIONAL,39.9233223,-86.2827008,0.7,Não
C,204,Hanging Rock Christian Assembly,campground,Proprietário,Não,,,State Road 263,West Lebanon,IN,47991,State Road 263,West Lebanon,IN,47991,,,(765) 893-4581,,(765) 893-4581,https://www.hangingrock.org/,,0,,OPERATIONAL,40.2145012,-87.3984937,0.7,Não
C,43,Hickory Hills Campground,campground,Proprietário,Não,,,Dixie Hill Road,Spencer,IN,47460,Dixie Hill Road,Spencer,IN,47460,,,+1-765-795-6079,,,http://hickoryhillscamp.com/,,0,,OPERATIONAL,39.4294706,-86.7800069,0.7,Não
C,225,Indiana Beach Campground,campground,Proprietário,Não,,,NW Shafer Dr,Monticello,IN,47960,NW Shafer Dr,Monticello,IN,47960,,,5785834141,,,https://www.indianabeach.com/,,0,,OPERATIONAL,40.7902905,-86.7843023,0.7,Não
