nome_propriedade,tipo,endereco,cidade,estado,cep,condado,lat,lon,status,avaliacao_media,total_avaliacoes,nome_proprietario,tipo_proprietario,endereco_correspondencia,cidade_correspondencia,estado_correspondencia,cep_correspondencia
Chain O’ Lakes Campground,campground,"Campground, Albion, IN 46701, USA",Albion,IN,46701,Noble County,41.3291450,-85.3710404,OPERATIONAL,4.6,312,Chain O’ Lakes Campground,business,"Campground, Albion, IN 46701, USA",Albion,IN,46701
Orchard Ridge Estates,rv_park,"305 S 4th St, Albion, IN 46701, USA",Albion,IN,46701,Noble County,41.3938931,-85.4140058,OPERATIONAL,5.0,1,Orchard Ridge Estates,business,"305 S 4th St, Albion, IN 46701, USA",Albion,IN,46701
Shady Haven Resort,rv_park,"3100 W Baseline Rd, Albion, IN 46701, USA",Albion,IN,46701,Noble County,41.3532333,-85.4846038,OPERATIONAL,4.1,49,Shady Haven Resort,business,"3100 W Baseline Rd, Albion, IN 46701, USA",Albion,IN,46701
Hoosierland Campground,campground,"2641 E 1300 N, Alexandria, IN 46001, USA",Alexandria,IN,46001,Madison County,40.2907379,-85.6220401,OPERATIONAL,4.4,189,Hoosierland Campground,business,"2641 E 1300 N, Alexandria, IN 46001, USA",Alexandria,IN,46001
Anderson Manufactured Home Community,rv_park,"328 W 53rd St #27, Anderson, IN 46013, USA",Anderson,IN,46013,Madison County,40.0618327,-85.6836357,OPERATIONAL,3.9,97,Anderson Manufactured Home Community,business,"328 W 53rd St #27, Anderson, IN 46013, USA",Anderson,IN,46013
Cottonwood RV Park,rv_park,"2206 S Rangeline Rd, Anderson, IN 46012, USA",Anderson,IN,46012,Madison County,40.0951982,-85.6333499,OPERATIONAL,5.0,4,Cottonwood RV Park,business,"2206 S Rangeline Rd, Anderson, IN 46012, USA",Anderson,IN,46012
Countryside Village,rv_park,"278 W 375 N, Anderson, IN 46012, USA",Anderson,IN,46012,Madison County,40.1623843,-85.6772584,OPERATIONAL,3.3,30,Countryside Village,business,"278 W 375 N, Anderson, IN 46012, USA",Anderson,IN,46012
Deerfield Run Pointe Mobile Home Park,rv_park,"2735 Autumn Lake Dr, Anderson, IN 46017, USA",Anderson,IN,46017,Madison County,40.0720190,-85.6206516,OPERATIONAL,3.5,154,Deerfield Run Pointe Mobile Home Park,business,"2735 Autumn Lake Dr, Anderson, IN 46017, USA",Anderson,IN,46017
Edgewood MHP,rv_park,"1810 W 53rd St, Anderson, IN 46013, USA",Anderson,IN,46013,Madison County,40.0621686,-85.7065961,OPERATIONAL,3.1,37,Edgewood MHP,business,"1810 W 53rd St, Anderson, IN 46013, USA",Anderson,IN,46013
Mounds Mobile Home Park,rv_park,"2721 Mounds Rd, Anderson, IN 46016, USA",Anderson,IN,46016,Madison County,40.0887985,-85.6418457,OPERATIONAL,3.2,37,Mounds Mobile Home Park,business,"2721 Mounds Rd, Anderson, IN 46016, USA",Anderson,IN,46016
Mounds State Park Family Campgrounds,campground,"Anderson, IN 46017, USA",Anderson,IN,46017,Madison County,40.1065342,-85.6159483,OPERATIONAL,4.6,103,Mounds State Park Family Campgrounds,business,"Anderson, IN 46017, USA",Anderson,IN,46017
Muncie RV Resort,rv_park,"3230 E 75 N, Anderson, IN 46017, USA",Anderson,IN,46017,Madison County,40.1170624,-85.6105095,OPERATIONAL,4.2,429,Muncie RV Resort,business,"3230 E 75 N, Anderson, IN 46017, USA",Anderson,IN,46017
Redbud Estates,rv_park,"1800 W 38th St, Anderson, IN 46013, USA",Anderson,IN,46013,Madison County,40.0772828,-85.7023465,OPERATIONAL,3.5,83,Redbud Estates,business,"1800 W 38th St, Anderson, IN 46013, USA",Anderson,IN,46013
Rustic Manor Manufactured Home Community,rv_park,"1625 B St, Anderson, IN 46016, USA",Anderson,IN,46016,Madison County,40.0986983,-85.6608690,OPERATIONAL,3.4,70,Rustic Manor Manufactured Home Community,business,"1625 B St, Anderson, IN 46016, USA",Anderson,IN,46016
Shady Rest Mobile Parks,rv_park,"325 E Cross St #11, Anderson, IN 46012, USA",Anderson,IN,46012,Madison County,40.1349151,-85.6722953,OPERATIONAL,3.5,20,Shady Rest Mobile Parks,business,"325 E Cross St #11, Anderson, IN 46012, USA",Anderson,IN,46012
Apple Orchard Primitive Campground,campground,"New Holland Road, Andrews, IN 46702, USA",Andrews,IN,46702,Huntington County,40.7661924,-85.6314772,OPERATIONAL,4.5,71,Apple Orchard Primitive Campground,business,"New Holland Road, Andrews, IN 46702, USA",Andrews,IN,46702
Lost Bridge State Recreation Area,,"9214 Lost Bridge Rd W, Andrews, IN 46702, USA",Andrews,IN,46702,,40.7697719,-85.6268729,OPERATIONAL,4.7,423,Lost Bridge State Recreation Area,business,"9214 Lost Bridge Rd W, Andrews, IN 46702, USA",Andrews,IN,46702
Salamonie Lake Modern Campground,campground,"9214 Lost Bridge Rd W, Andrews, IN 46702, USA",Andrews,IN,46702,Huntington County,40.7744707,-85.6396901,OPERATIONAL,4.6,135,Salamonie Lake Modern Campground,business,"9214 Lost Bridge Rd W, Andrews, IN 46702, USA",Andrews,IN,46702
Angola / Hogback Lake KOA Holiday,rv_park,"5251 US-20, Angola, IN 46703, USA",Angola,IN,46703,Steuben County,41.6333200,-85.0866300,OPERATIONAL,4.0,725,Angola / Hogback Lake KOA Holiday,business,"5251 US-20, Angola, IN 46703, USA",Angola,IN,46703
Camp Sack-In,campground,"8740 E 40 S, Angola, IN 46703, USA",Angola,IN,46703,Steuben County,41.6417250,-84.8243940,OPERATIONAL,4.3,108,Camp Sack-In,business,"8740 E 40 S, Angola, IN 46703, USA",Angola,IN,46703
Happy Acres Campground,rv_park,"1940 S 300 W, Angola, IN 46703, USA",Angola,IN,46703,Steuben County,41.6145224,-85.0456061,OPERATIONAL,4.7,275,Happy Acres Campground,business,"1940 S 300 W, Angola, IN 46703, USA",Angola,IN,46703
Lake James Campground,campground,"3545 N Bay View Rd, Angola, IN 46703, USA",Angola,IN,46703,Steuben County,41.6937720,-85.0390076,OPERATIONAL,4.4,63,Lake James Campground,business,"3545 N Bay View Rd, Angola, IN 46703, USA",Angola,IN,46703
