master_id,nome_propriedade,tipo,endereco_propriedade,cidade,estado,cep,condado,lat,lon,status,avaliacao_media,total_avaliacoes,telefone_propriedade,website_propriedade,email_propriedade,nome_proprietario,tipo_proprietario,endereco_correspondencia,cidade_correspondencia,estado_correspondencia,cep_correspondencia,nome_contato,cargo_contato,email_contato,telefone_contato,nome_empresa,tipo_negocio,agente_registrado,data_fundacao,telefone_final,email_final,website_final,tier_qualidade
587356f3-9f6d-4c28-abfe-e77fb00c13ad,Chain O’ Lakes Campground,campground,"Campground, Albion, IN 46701, USA",Albion,IN,46701,Noble County,41.3291450,-85.3710404,OPERATIONAL,4.6,312,(260) 636-2654,https://www.in.gov/dnr/state-parks/parks-lakes/chain-o-lakes-state-park/,,Chain O’ Lakes Campground,business,"Campground, Albion, IN 46701, USA",Albion,IN,46701,,,,,,,,,(260) 636-2654,,https://www.in.gov/dnr/state-parks/parks-lakes/chain-o-lakes-state-park/,A
69cdedca-20e1-4b22-a139-78dc9325d39c,Orchard Ridge Estates,rv_park,"305 S 4th St, Albion, IN 46701, USA",Albion,IN,46701,Noble County,41.3938931,-85.4140058,OPERATIONAL,5.0,1,(201) 989-6102,,,Orchard Ridge Estates,business,"305 S 4th St, Albion, IN 46701, USA",Albion,IN,46701,,,,,,,,,(201) 989-6102,,,A
efd94788-abc5-4a46-82aa-b2a8faa740a8,Shady Haven Resort,rv_park,"3100 W Baseline Rd, Albion, IN 46701, USA",Albion,IN,46701,Noble County,41.3532333,-85.4846038,OPERATIONAL,4.1,49,,,,Shady Haven Resort,business,"3100 W Baseline Rd, Albion, IN 46701, USA",Albion,IN,46701,,,,,,,,,,,,B
0e015cf0-ffeb-4336-bd34-8983e250b6d7,Hoosierland Campground,campground,"2641 E 1300 N, Alexandria, IN 46001, USA",Alexandria,IN,46001,Madison County,40.2907379,-85.6220401,OPERATIONAL,4.4,189,(765) 724-2530,http://hoosierlandcampground.com/,,Hoosierland Campground,business,"2641 E 1300 N, Alexandria, IN 46001, USA",Alexandria,IN,46001,,,,,,,,,(765) 724-2530,,http://hoosierlandcampground.com/,A
45065a05-318d-4558-90d5-a0ba690834ad,Anderson Manufactured Home Community,rv_park,"328 W 53rd St #27, Anderson, IN 46013, USA",Anderson,IN,46013,Madison County,40.0618327,-85.6836357,OPERATIONAL,3.9,97,(765) 274-5554,https://endeavorcommunities.com/community/anderson-manufactured-home-community/,,Anderson Manufactured Home Community,business,"328 W 53rd St #27, Anderson, IN 46013, USA",Anderson,IN,46013,,,,,,,,,(765) 274-5554,,https://endeavorcommunities.com/community/anderson-manufactured-home-community/,A
e029d63a-4a2e-45ab-9033-e50e79bff916,Cottonwood RV Park,rv_park,"2206 S Rangeline Rd, Anderson, IN 46012, USA",Anderson,IN,46012,Madison County,40.0951982,-85.6333499,OPERATIONAL,5.0,4,(765) 208-1673,,,Cottonwood RV Park,business,"2206 S Rangeline Rd, Anderson, IN 46012, USA",Anderson,IN,46012,,,,,,,,,(765) 208-1673,,,A
fcf6c59d-76cf-4947-9bff-6184e5d1a37c,Countryside Village,rv_park,"278 W 375 N, Anderson, IN 46012, USA",Anderson,IN,46012,Madison County,40.1623843,-85.6772584,OPERATIONAL,3.3,30,(765) 606-9928,,,Countryside Village,business,"278 W 375 N, Anderson, IN 46012, USA",Anderson,IN,46012,,,,,,,,,(765) 606-9928,,,A
a2223dc7-9329-4353-95fe-01183e3f1400,Deerfield Run Pointe Mobile Home Park,rv_park,"2735 Autumn Lake Dr, Anderson, IN 46017, USA",Anderson,IN,46017,Madison County,40.0720190,-85.6206516,OPERATIONAL,3.5,154,(765) 643-4580,https://yougotithomes.com/community/deerfield-run-pointe/,,Deerfield Run Pointe Mobile Home Park,business,"2735 Autumn Lake Dr, Anderson, IN 46017, USA",Anderson,IN,46017,,,,,,,,,(765) 643-4580,,https://yougotithomes.com/community/deerfield-run-pointe/,A
bd967b80-7e74-4656-8874-1af90d0214cf,Edgewood MHP,rv_park,"1810 W 53rd St, Anderson, IN 46013, USA",Anderson,IN,46013,Madison County,40.0621686,-85.7065961,OPERATIONAL,3.1,37,(765) 641-9994,,,Edgewood MHP,business,"1810 W 53rd St, Anderson, IN 46013, USA",Anderson,IN,46013,,,,,,,,,(765) 641-9994,,,A
a8dfff1f-8d05-4925-b18b-4d55533da82d,Mounds Mobile Home Park,rv_park,"2721 Mounds Rd, Anderson, IN 46016, USA",Anderson,IN,46016,Madison County,40.0887985,-85.6418457,OPERATIONAL,3.2,37,(765) 642-5939,,,Mounds Mobile Home Park,business,"2721 Mounds Rd, Anderson, IN 46016, USA",Anderson,IN,46016,,,,,,,,,(765) 642-5939,,,A
f2754da1-86ce-47a9-8ce2-7a1b195cd664,Mounds State Park Family Campgrounds,campground,"Anderson, IN 46017, USA",Anderson,IN,46017,Madison County,40.1065342,-85.6159483,OPERATIONAL,4.6,103,(765) 642-6627,https://indianastateparks.reserveamerica.com/camping/mounds-state-park/r/campgroundDetails.do?contractCode=IN&parkId=570027,,Mounds State Park Family Campgrounds,business,"Anderson, IN 46017, USA",Anderson,IN,46017,,,,,,,,,(765) 642-6627,,https://indianastateparks.reserveamerica.com/camping/mounds-state-park/r/campgroundDetails.do?contractCode=IN&parkId=570027,A
4bd211e4-88f6-4dbf-b9d9-94b77317d9ac,Muncie RV Resort,rv_park,"3230 E 75 N, Anderson, IN 46017, USA",Anderson,IN,46017,Madison County,40.1170624,-85.6105095,OPERATIONAL,4.2,429,(765) 259-3305,https://rjourney.com/park/in/muncie/?utm_source=gmb&utm_medium=organic&utm_campaign=muncie,,Muncie RV Resort,business,"3230 E 75 N, Anderson, IN 46017, USA",Anderson,IN,46017,,,,,,,,,(765) 259-3305,,https://rjourney.com/park/in/muncie/?utm_source=gmb&utm_medium=organic&utm_campaign=muncie,A
421b66e2-b4e5-4f79-b8c8-4d052782f6d0,Redbud Estates,rv_park,"1800 W 38th St, Anderson, IN 46013, USA",Anderson,IN,46013,Madison County,40.0772828,-85.7023465,OPERATIONAL,3.5,83,(765) 644-4479,https://umh.com/community/redbud-estates/,,Redbud Estates,business,"1800 W 38th St, Anderson, IN 46013, USA",Anderson,IN,46013,,,,,,,,,(765) 644-4479,,https://umh.com/community/redbud-estates/,A
20b87cb8-f1cd-4906-8887-1f9bfe77fa58,Rustic Manor Manufactured Home Community,rv_park,"1625 B St, Anderson, IN 46016, USA",Anderson,IN,46016,Madison County,40.0986983,-85.6608690,OPERATIONAL,3.4,70,(765) 615-4270,http://rusticmanormhp.com/,,Rustic Manor Manufactured Home Community,business,"1625 B St, Anderson, IN 46016, USA",Anderson,IN,46016,,,,,,,,,(765) 615-4270,,http://rusticmanormhp.com/,A
d628a0e7-6d41-4dfd-8e4b-208b0fa747b4,Shady Rest Mobile Parks,rv_park,"325 E Cross St #11, Anderson, IN 46012, USA",Anderson,IN,46012,Madison County,40.1349151,-85.6722953,OPERATIONAL,3.5,20,(317) 764-8313,,,Shady Rest Mobile Parks,business,"325 E Cross St #11, Anderson, IN 46012, USA",Anderson,IN,46012,,,,,,,,,(317) 764-8313,,,A
3bd390ea-5d23-4746-8dbd-87ee28aa1464,Apple Orchard Primitive Campground,campground,"New Holland Road, Andrews, IN 46702, USA",Andrews,IN,46702,Huntington County,40.7661924,-85.6314772,OPERATIONAL,4.5,71,(260) 468-2125,http://www.in.gov/dnr/parklake/2952.htm,,Apple Orchard Primitive Campground,business,"New Holland Road, Andrews, IN 46702, USA",Andrews,IN,46702,,,,,,,,,(260) 468-2125,,http://www.in.gov/dnr/parklake/2952.htm,A
15d01497-b8ab-47dd-a91c-ff5ebd4e6cad,Lost Bridge State Recreation Area,,"9214 Lost Bridge Rd W, Andrews, IN 46702, USA",Andrews,IN,46702,,40.7697719,-85.6268729,OPERATIONAL,4.7,423,(260) 468-2125,http://www.in.gov/dnr/parklake/2952.htm,,Lost Bridge State Recreation Area,business,"9214 Lost Bridge Rd W, Andrews, IN 46702, USA",Andrews,IN,46702,,,,,,,,,(260) 468-2125,,http://www.in.gov/dnr/parklake/2952.htm,A
f62e0152-a743-42bc-b128-92a26afaf724,Salamonie Lake Modern Campground,campground,"9214 Lost Bridge Rd W, Andrews, IN 46702, USA",Andrews,IN,46702,Huntington County,40.7744707,-85.6396901,OPERATIONAL,4.6,135,(260) 468-2125,https://www.reserveamerica.com/explore/salamonie-lake/IN/570041/overview,,Salamonie Lake Modern Campground,business,"9214 Lost Bridge Rd W, Andrews, IN 46702, USA",Andrews,IN,46702,,,,,,,,,(260) 468-2125,,https://www.reserveamerica.com/explore/salamonie-lake/IN/570041/overview,A
